zimmo code,type,price,street,number,postcode,city,living area(m²),ground area(m²),bedroom,bathroom,garage,garden,EPC(kWh/m²),renovation obligation,year built,mobiscore,url
L20U1,Woning (Huis),520000.0,Bassevillestraat,32,8434,Lombardsijde,189.0,215.0,4.0,1.0,1.0,False,60.0,False,2023.0,7.0,https://www.zimmo.be/nl/lombardsijde-8434/te-koop/huis/L20U1/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiA1MDAwMDAsICJtYXgiOiA1NDk5OTl9fX19&p=72
L22RI,Woning (Huis),545000.0,Dorpweg,51,8377,Meetkerke,142.0,191.0,3.0,1.0,1.0,True,101.0,False,2017.0,5.0,https://www.zimmo.be/nl/meetkerke-8377/te-koop/huis/L22RI/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiA1MDAwMDAsICJtYXgiOiA1NDk5OTl9fX19&p=72
L0R2W,Woning (Huis),549000.0,Stationsstraat,140,2860,Sint-Katelijne-Waver,250.0,3690.0,3.0,2.0,2.0,False,643.0,True,1954.0,7.9,https://www.zimmo.be/nl/sint-katelijne-waver-2860/te-koop/huis/L0R2W/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiA1MDAwMDAsICJtYXgiOiA1NDk5OTl9fX19&p=72
L1TPS,Gemengd gebruik (Huis),519000.0,Topmolen,128,1840,Londerzeel,204.0,984.0,4.0,1.0,1.0,False,124.0,False,1970.0,7.0,https://www.zimmo.be/nl/londerzeel-1840/te-koop/huis/L1TPS/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiA1MDAwMDAsICJtYXgiOiA1NDk5OTl9fX19&p=72
L0JMY,Woning (Huis),539000.0,Renerkesstraat,4,3600,Genk,300.0,1190.0,3.0,1.0,1.0,False,236.0,False,1999.0,7.5,https://www.zimmo.be/nl/genk-3600/te-koop/huis/L0JMY/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiA1MDAwMDAsICJtYXgiOiA1NDk5OTl9fX19&p=73
L0L9W,Woning (Huis),519000.0,Moerenslos,19,1740,Ternat,210.0,654.0,3.0,1.0,2.0,False,137.0,False,1940.0,8.2,https://www.zimmo.be/nl/ternat-1740/te-koop/huis/L0L9W/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiA1MDAwMDAsICJtYXgiOiA1NDk5OTl9fX19&p=73
L1DXM,Woning (Huis),510000.0,Aarschotsesteenweg,412,3012,Wilsele,212.0,398.0,3.0,1.0,1.0,True,260.0,False,1952.0,8.4,https://www.zimmo.be/nl/wilsele-3012/te-koop/huis/L1DXM/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiA1MDAwMDAsICJtYXgiOiA1NDk5OTl9fX19&p=73
L1CXO,Woning (Huis),535000.0,Banneuxstraat,2,3500,Hasselt,317.0,401.0,4.0,2.0,1.0,True,217.0,False,1966.0,8.8,https://www.zimmo.be/nl/hasselt-3500/te-koop/huis/L1CXO/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiA1MDAwMDAsICJtYXgiOiA1NDk5OTl9fX19&p=73
L1BXY,Villa (Huis),545000.0,Preshoekstraat,237,8510,Marke,134.0,720.0,3.0,2.0,1.0,False,266.0,False,1978.0,8.0,https://www.zimmo.be/nl/marke-8510/te-koop/huis/L1BXY/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiA1MDAwMDAsICJtYXgiOiA1NDk5OTl9fX19&p=73
L0VV8,Woning (Huis),534000.0,Scholeksterlaan,36,8434,Westende,217.0,613.0,4.0,2.0,1.0,True,254.0,False,1997.0,6.8,https://www.zimmo.be/nl/westende-8434/te-koop/huis/L0VV8/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiA1MDAwMDAsICJtYXgiOiA1NDk5OTl9fX19&p=74
